City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
72,Punta Umbria,ES,71.24,overcast clouds,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
73,Havre,FR,63.0,overcast clouds,49.5833,0.3333,gite bois jourdain
74,Sungaipenuh,ID,64.26,heavy intensity rain,-2.0833,101.3833,penginapan citra alam
75,Port Alfred,ZA,55.71,clear sky,-33.5906,26.891,The Halyards Hotel
76,Broome,US,48.83,overcast clouds,42.2506,-75.833,Chenango Valley State Park
77,Isangel,VU,74.98,overcast clouds,-19.55,169.2667,Tanna Lodge
81,Chicama,PE,59.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
84,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
86,Jamestown,US,54.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
88,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
90,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
93,Malanje,AO,63.82,light rain,-9.5402,16.341,Malanje Hotel
97,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
98,Margate,GB,62.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
99,Coquimbo,CL,55.13,broken clouds,-29.9533,-71.3436,Punto de encuentro
100,Grand Gaube,MU,73.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
101,Oudtshoorn,ZA,49.6,clear sky,-33.5907,22.2014,Earthbound Guest House
102,Lebu,CL,52.54,clear sky,-37.6167,-73.65,Hostal Las Lilas
103,Saint Anthony,US,70.75,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
105,Kaeo,NZ,66.09,scattered clouds,-35.1,173.7833,Bushido Lodge
106,Tuatapere,NZ,50.97,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
107,Castro,BR,55.27,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
109,Bengkulu,ID,74.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
111,Bethel,US,51.04,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
113,Morganton,US,60.46,clear sky,35.7454,-81.6848,Hampton Inn Morganton
114,Mar Del Plata,AR,57.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
117,Pisco,PE,62.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
119,Lerwick,GB,53.6,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
120,Kenai,US,46.09,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
123,Saldanha,ZA,56.73,clear sky,-33.0117,17.9442,Blue Bay Lodge
129,Saint-Francois,FR,46.67,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
131,Alpena,US,51.93,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
132,Hamilton,US,60.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
133,Gurupi,BR,72.68,light rain,-11.7292,-49.0686,Via Norte Hotel
134,Assomada,CV,73.09,clear sky,15.1,-23.6833,Residencial Cosmos
135,Mopipi,BW,58.33,scattered clouds,-21.1833,24.8833,
137,Muhororo,UG,61.84,moderate rain,0.9381,30.7594,Muhorro Executive Hotel
139,Caohai,CN,53.49,overcast clouds,26.8661,104.2841,Jinhua Hotel
141,Alta Floresta,BR,71.46,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
146,Sao Pedro Da Aldeia,BR,68.41,overcast clouds,-22.8392,-42.1028,Pousada Aldeia dos Ventos
147,Beloha,MG,68.72,few clouds,-25.1667,45.05,
148,Fortuna,US,61.41,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
150,Ahipara,NZ,65.64,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
151,Gloversville,US,45.91,broken clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
158,Xinzhi,CN,53.76,overcast clouds,36.4989,111.7047,Mingyue Hotel
160,Asau,RO,48.76,broken clouds,46.4333,26.4,Casa Mika Ciobanus
162,Lubumbashi,CD,71.78,overcast clouds,-11.6609,27.4794,Glo Flats
166,Sault Sainte Marie,CA,50.29,clear sky,46.5168,-84.3333,Comfort Inn
172,Sambava,MG,69.15,scattered clouds,-14.2667,50.1667,Melrose
176,Pringsewu,ID,74.08,overcast clouds,-5.3582,104.9744,Urban Style by Front One
178,Barranca,PE,62.96,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
179,Half Moon Bay,US,65.89,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
180,Columbus,US,58.42,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
181,Pacific Grove,US,64.58,few clouds,36.6177,-121.9166,Lovers Point Inn
182,Moreira Sales,BR,66.07,overcast clouds,-24.0622,-53.0069,Casa Cristo Rei
183,Valparaiso,CL,56.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
184,Passy,FR,55.76,overcast clouds,45.9203,6.6877,Auberge de l'Orangerie
186,Calama,CL,64.89,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
190,Zimovniki,RU,46.08,scattered clouds,47.1483,42.4633,Guest House
192,Geraldton,AU,61.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
194,Mahebourg,MU,73.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
196,Laguna,US,67.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
197,Nemuro,JP,48.63,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
199,Yellandu,IN,72.84,overcast clouds,17.6,80.3333,Chekuri Satyanarayana
201,Avera,US,60.71,scattered clouds,33.194,-82.5271,
203,Goderich,CA,55.9,clear sky,43.7501,-81.7165,Harmony Inn
204,Lindsay,US,64.81,clear sky,36.203,-119.0882,Lindsay Inn
206,Francistown,BW,54.88,overcast clouds,-21.17,27.5079,Budget House
208,Talcahuano,CL,58.68,clear sky,-36.7167,-73.1167,departamento comodo
211,San Quintin,MX,65.98,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
212,Vila Velha,BR,71.55,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
213,Waipawa,NZ,57.83,few clouds,-41.4122,175.5153,Tora Coastal Walk
215,Chuy,UY,54.0,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
220,Coihaique,CL,53.55,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
221,Hasaki,JP,57.29,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
225,Port Macquarie,AU,73.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
227,Dali,CN,59.4,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
229,Dubbo,AU,69.93,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
230,Ouadda,CF,68.5,overcast clouds,8.0777,22.4007,
231,Lagoa,PT,68.02,clear sky,39.05,-27.9833,Casa Das Faias
234,Laurel,US,60.46,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
235,Baghmara,IN,73.94,overcast clouds,23.795,86.2085,Shankar tea shop
237,Luanda,AO,74.1,scattered clouds,-8.8368,13.2343,Hotel Fórum
238,Harrisonburg,US,59.59,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
239,Bandundu,CD,72.23,moderate rain,-3.3167,17.3667,Coja Color
242,Takaka,NZ,66.97,clear sky,-40.85,172.8,Golden Bay Motels
243,Kaitangata,NZ,49.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
244,Hokitika,NZ,54.88,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
245,Mount Gambier,AU,57.79,scattered clouds,-37.8333,140.7667,The Commodore
246,Quelimane,MZ,74.8,clear sky,-17.8786,36.8883,Hotel Flamingo
248,Barcelona,ES,66.78,few clouds,41.3888,2.159,Axel Hotel Barcelona
249,Bardiyah,LY,69.03,few clouds,31.7561,25.0865,بورتو بردية
250,Hoquiam,US,56.28,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
251,Schattdorf,CH,54.41,overcast clouds,46.8655,8.6547,Höfli
254,Te Anau,NZ,52.81,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
255,Constantine,DZ,52.93,scattered clouds,36.365,6.6147,Grand Hotel Cirta
262,Eldorado,BR,66.07,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
263,Baglung,NP,66.99,moderate rain,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
264,Suriapet,IN,74.91,overcast clouds,17.15,79.6167,MNR Lodge and Restaurant
265,Pinawa,CA,57.51,broken clouds,50.1489,-95.8811,Pinawa Motel
266,San Isidro,PE,66.02,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
267,Port Hardy,CA,50.11,overcast clouds,50.6996,-127.4199,Airport Inn
272,Khonsa,IN,66.74,overcast clouds,27.0167,95.5667,
273,Chippewa Falls,US,63.99,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
275,Rio Grande,BR,57.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
278,Hanmer Springs,NZ,57.06,broken clouds,-42.5167,172.8167,The Chalets Motel
279,Neftegorsk,RU,46.78,overcast clouds,52.802,51.166,Relaks
281,Laramie,US,60.73,scattered clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
285,Opmeer,NL,58.08,overcast clouds,52.7067,4.9444,Bed & Breakfast De Koegang
287,Jumla,NP,53.82,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
288,Kruisfontein,ZA,45.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
291,Leopold,AU,58.64,overcast clouds,-38.1833,144.4667,Avila Vista
293,Iquitos,PE,73.44,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
295,Bad Langensalza,DE,47.68,overcast clouds,51.1,10.65,Alpha Hotel - Hermann von Salza
296,Huilong,CN,61.03,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
297,Ekpoma,NG,69.01,overcast clouds,6.7421,6.139,His Banner Hotel
298,Kushmurun,KZ,46.33,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
299,Saravan,AM,45.25,overcast clouds,39.7196,45.6483,
300,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
302,Miajadas,ES,69.78,overcast clouds,39.1513,-5.9084,Hotel Triana
303,Sitka,US,51.69,overcast clouds,57.0531,-135.33,Westmark Sitka
305,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
307,Lac Du Bonnet,CA,57.83,broken clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
309,Lata,PT,65.8,broken clouds,40.1629,-8.3327,Casa Maquia
310,Airai,TL,71.76,overcast clouds,-8.9266,125.4092,Juvinal Martin
318,Stromness,GB,57.45,broken clouds,58.965,-3.296,The Old Smokery
321,Hami,CN,51.33,broken clouds,42.8,93.45,Laoyutang Resort
324,Acari,PE,67.53,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
326,Wawa,NG,73.99,moderate rain,9.9022,4.4192,
328,Lixourion,GR,64.08,clear sky,38.2019,20.4314,Hotel Summery
330,Namibe,AO,63.43,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
332,Sioux Lookout,CA,53.01,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
333,San Rafael,AR,67.1,clear sky,-34.6177,-68.3301,Hotel San Rafael
335,Nalut,LY,67.86,overcast clouds,30.3333,10.85,
338,Willowmore,ZA,45.41,clear sky,-33.2926,23.4895,Jumper's Place
340,Fairhope,US,65.68,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
341,Cap Malheureux,MU,73.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
342,Jimo,CN,51.28,scattered clouds,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
343,Calatayud,ES,61.38,overcast clouds,41.3535,-1.6432,Globales Castillo de Ayud
348,Sint Anthonis,NL,58.32,overcast clouds,51.6267,5.8819,Hotel Restaurant de Baronie
349,Price,US,54.66,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
351,Hastings,GB,63.18,overcast clouds,50.8552,0.5729,Zanzibar Hotel
354,Ukiah,US,64.56,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
357,Richards Bay,ZA,57.47,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
360,Jalu,LY,68.99,few clouds,29.0331,21.5482,صاحبة الفخامة
365,Jeremoabo,BR,71.24,overcast clouds,-10.075,-38.4808,
367,Lazurne,UA,52.23,overcast clouds,46.084,32.5295,New Manna Hostel
369,Ancud,CL,54.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
370,Miyang,CN,59.52,overcast clouds,24.4042,103.4428,Huibinlou Hotel
374,Juneau,US,45.84,overcast clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
375,Elhovo,BG,55.62,scattered clouds,42.1667,26.5667,"Хотелски комплекс ""Колхида"""
380,Srandakan,ID,61.74,broken clouds,-7.9386,110.2506,Puri Brata
381,Turangi,NZ,61.2,scattered clouds,-39.0,175.9333,
384,Baraut,IN,69.75,clear sky,29.1,77.2667,Vinay Jain
386,Necochea,AR,53.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
387,Deniliquin,AU,61.65,clear sky,-35.5333,144.9667,Riviana Motel
395,Jhajjar,IN,69.91,clear sky,28.6063,76.6565,Sainik Rest House
397,Saint George,US,55.87,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
401,Ler,SS,74.19,clear sky,8.3018,30.1418,
403,Balclutha,NZ,49.6,overcast clouds,-46.2339,169.75,Hotel South Otago
404,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
405,Griffith,US,67.01,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
406,Mayo,US,61.86,clear sky,38.8876,-76.5119,Resorts Resource Group International
410,Mangan,IN,70.93,overcast clouds,27.5167,88.5333,Hotel Mout View
413,Ghansor,IN,70.27,overcast clouds,22.65,79.95,Hotel Shree hi
415,Ise,JP,60.12,overcast clouds,34.4833,136.7,Ise Fresh
419,Plettenberg Bay,ZA,51.69,clear sky,-34.0527,23.3716,Thanda Vista B&B
421,Arklow,IE,59.99,light rain,52.7931,-6.1414,"Arklow Bay Conference, Leisure & Spa Hotel"
423,Lashio,MM,65.91,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
424,Nantucket,US,56.97,few clouds,41.2835,-70.0995,Jared Coffin House
425,Gat,IL,67.41,clear sky,31.61,34.7642,OlusHome
427,Shingu,JP,65.39,overcast clouds,33.7333,135.9833,Shingu UI Hotel
429,Aksu,CN,53.6,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
433,Daye,CN,56.55,overcast clouds,30.0833,114.95,丽江花马驿精品客栈
436,Bemidji,US,66.56,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
439,Meadow Lake,US,74.32,clear sky,34.8014,-106.5436,TumbleWeed RV Park
440,Quirinopolis,BR,72.73,overcast clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
441,Znin,PL,50.34,overcast clouds,52.8496,17.7199,Gosciniec Krys
443,Santiago,CL,74.35,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
444,Bud,US,60.75,clear sky,39.447,-86.1758,Ted McQuinn Trust
446,Ilfracombe,GB,61.92,overcast clouds,51.2093,-4.1134,The Sandy Cove Hotel
447,Roma,US,46.67,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
448,Mingaora,PK,61.16,clear sky,34.7758,72.3625,Burj Al Swat
450,Shache,CN,48.58,few clouds,38.4167,77.2406,Delong Hotel
452,Shimoda,JP,59.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
458,Olinala,MX,70.88,broken clouds,17.8333,-98.85,
459,Perth,AU,62.78,light rain,-31.9333,115.8333,Beatty Lodge
460,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
461,Dunedin,NZ,50.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
466,Tubmanburg,LR,73.27,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
470,Lewistown,US,56.61,broken clouds,40.5992,-77.5714,Quality Inn & Suites
473,Pokhara,NP,68.72,light rain,28.2333,83.9833,Butterfly Lodge
475,Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
476,Jijiga,ET,64.51,scattered clouds,9.35,42.8,RAMAAS HOTEL
477,Kashi,CN,49.26,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
479,Vestmannaeyjar,IS,47.82,heavy intensity rain,63.4427,-20.2734,Glamping & Camping
480,Viedma,AR,64.45,few clouds,-40.8135,-62.9967,Hotel Cristal
481,Inhambane,MZ,68.74,overcast clouds,-23.865,35.3833,Oceano
483,Challapata,BO,57.11,broken clouds,-18.9,-66.7667,HOSTAL MARIAN
484,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
485,Bindura,ZW,63.01,overcast clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
486,Pozhva,RU,45.21,overcast clouds,59.0912,56.0847,
487,Hereford,GB,62.35,overcast clouds,52.0568,-2.7148,The Green Dragon Hotel
490,Nacogdoches,US,69.44,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
491,Vallenar,CL,66.47,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
493,Tacuarembo,UY,55.83,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
494,Northam,GB,61.66,overcast clouds,51.0333,-4.2167,Durrant House Hotel
496,Lumeje,AO,66.58,overcast clouds,-11.55,20.7833,
500,Camacha,PT,71.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
505,Grindavik,IS,48.15,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
508,Flagstaff,US,57.79,overcast clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
509,Amarillo,US,72.61,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
510,Tergnier,FR,59.68,light rain,49.6561,3.3011,Aire Services (RV) Frette
513,Ballina,AU,72.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
514,Savalou,BJ,71.82,overcast clouds,7.9281,1.9756,Hotel F&F
515,Flinders,AU,70.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
517,Dunkirk,FR,60.03,overcast clouds,51.05,2.3667,All Suites Appart Hôtel Dunkerque
518,Curitibanos,BR,52.93,overcast clouds,-27.2828,-50.5844,Tortato Palace Hotel
519,Badarpur,IN,73.96,overcast clouds,24.9,92.6,Rejauls home
520,Anaconda,US,61.79,broken clouds,46.1285,-112.9423,Trade Wind Motel
522,Rafaela,AR,69.06,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
528,Mildura,AU,64.08,clear sky,-34.2,142.15,Mercure Hotel Mildura
532,Cervo,ES,63.54,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
534,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
535,Fenoarivo,MG,55.47,few clouds,-18.933,47.4354,Skyfol Ambodiafontsy
536,Tonisvorst,DE,59.58,broken clouds,51.3167,6.45,Hotel Restaurant Haus Vorst am Niederrhein
537,Sterling,US,59.97,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
540,Kaseda,JP,59.85,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
542,Murgab,TM,49.87,scattered clouds,37.4966,61.9714,
543,Katsuura,JP,57.31,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
547,Potosi,BO,48.27,broken clouds,-19.5836,-65.7531,Hostal La Casona Potosí
551,North Platte,US,66.25,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
552,Sesheke,ZM,70.3,broken clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
561,Monteagudo,BO,61.97,overcast clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
562,Roald,NO,48.33,light rain,62.5833,6.1333,Flem Cabins
563,Kasongo-Lunda,CD,70.12,light rain,-6.4667,16.8167,
564,La Palma,US,69.04,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
565,Kabanjahe,ID,65.16,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
566,Thunder Bay,CA,53.51,clear sky,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
569,Erdemli,TR,70.65,overcast clouds,36.605,34.3084,Sun Rice Otel
572,Florianopolis,BR,64.62,overcast clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
577,Moshupa,BW,60.04,scattered clouds,-24.7782,25.4155,Sim's Bed & Breakfast
579,Danjiangkou,CN,57.29,light rain,32.5428,111.5086,Dongsheng Guesthouse
586,Brzeziny,PL,48.11,overcast clouds,51.8002,19.7514,"Hotel nad Mrogą, Restauracja Cztery Pory Roku"
591,Yvetot,FR,62.56,overcast clouds,49.6174,0.7581,Le Manoir aux Vaches
593,El Alto,PE,63.57,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
595,Jasper,US,64.02,clear sky,37.2001,-94.3502,Guest House Motel
598,Jambi,ID,74.5,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
599,Syracuse,IT,63.32,clear sky,37.0881,15.2792,Hotel Posta
604,Porto Belo,BR,67.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
605,Santa Vitoria Do Palmar,BR,54.66,scattered clouds,-33.5189,-53.3681,Hostel Comodoro
606,Lamar,US,67.66,clear sky,33.6668,-95.5836,Kings Inn Paris TX
607,Raga,SS,72.66,overcast clouds,8.4596,25.678,
609,Dolores,AR,48.78,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
610,Yining,CN,55.38,light rain,29.0361,114.5636,Xiushui Hotel
611,Kondinskoye,RU,45.03,light rain,59.6481,67.41,Gostinitsa
615,Khaniotis,GR,61.41,few clouds,39.9991,23.58,Haris Hotel
616,Ilhabela,BR,66.87,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
617,Marawi,PH,73.65,broken clouds,7.9986,124.2928,Derogongan Residence
618,Port Lincoln,AU,61.16,clear sky,-34.7333,135.8667,Port Lincoln Hotel
620,Solwezi,ZM,70.02,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
621,Dryden,CA,54.36,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
623,Galesburg,US,64.54,clear sky,40.9478,-90.3712,"Holiday Inn Express & Suites Galesburg, an IHG Hotel"
625,Esmeraldas,BR,68.86,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
626,Ginda,IN,53.92,broken clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
628,Sol-Iletsk,RU,49.98,light rain,51.1631,54.9918,Raduzhnaya
629,Powell River,CA,59.09,overcast clouds,49.8496,-124.5361,Rodmay Hotel
630,Waddan,LY,71.73,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
631,Rocha,UY,47.46,clear sky,-34.4833,-54.3333,Beleza Pura B&B
633,Virginia Beach,US,66.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
634,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
637,Yichang,CN,57.22,light rain,30.7144,111.2847,Gezhouba Hotel
640,Sarkand,KZ,47.08,clear sky,45.41,79.9186,Гостиница Сарканд
641,Balaka,MW,72.43,broken clouds,-14.9793,34.9558,Sun Village Lodge
